Date,Open,High,Low,Close,Adj Close,Volume
2015-04-20,74.010002,76.000000,74.010002,75.589996,58.382973,5118520
2015-04-21,75.139999,76.430000,75.070000,76.099998,58.776878,2826180
2015-04-22,76.110001,76.470001,74.870003,75.800003,58.545166,6886030
2015-04-23,73.860001,76.059998,73.860001,74.010002,57.162636,4313076
2015-04-24,74.800003,75.199997,73.120003,75.199997,58.081741,5664182
2015-04-27,75.220001,78.500000,74.889999,76.650002,59.201683,12327360
2015-04-28,76.580002,76.849998,73.690002,74.349998,57.425240,7951900
2015-04-29,72.269997,75.769997,72.269997,74.029999,57.178082,5492128
2015-04-30,74.000000,77.580002,73.699997,77.000000,59.472008,6808260
2015-05-04,77.000000,77.000000,77.000000,77.000000,59.472008,0
2015-05-05,77.000000,79.400002,76.680000,79.400002,61.325687,10912980
2015-05-06,79.769997,79.769997,77.900002,78.800003,60.862259,4581900
2015-05-07,76.379997,78.099998,75.349998,76.000000,58.699638,6915000
2015-05-08,74.000000,74.099998,72.019997,73.489998,56.761013,7161310
2015-05-12,73.519997,75.449997,73.269997,74.500000,57.541092,5335200
2015-05-13,76.320000,76.320000,73.029999,73.500000,59.879234,4696880
2015-05-14,74.339996,74.919998,71.050003,71.400002,58.168400,7216430
2015-05-15,74.589996,74.589996,71.620003,72.250000,58.860882,2705540
2015-05-18,74.690002,74.690002,72.629997,73.540001,59.911819,5068020
2015-05-19,74.970001,74.970001,72.300003,72.629997,59.170456,3525460
2015-05-20,73.879997,74.190002,71.070000,73.180000,59.618538,6208650
2015-05-21,75.139999,75.139999,73.349998,74.820000,60.954617,4830680
2015-05-22,74.300003,75.690002,74.239998,75.150002,61.223465,3073282
2015-05-25,74.430000,75.690002,74.430000,75.470001,61.484161,2138710
2015-05-26,73.169998,75.769997,73.000000,74.300003,60.530994,4570900
2015-05-27,75.019997,75.019997,72.080002,72.889999,59.382278,5960120
2015-05-28,73.110001,73.110001,70.419998,71.230003,58.029911,7378070
2015-05-29,71.500000,72.820000,70.099998,72.000000,58.657215,19697730
2015-06-01,72.339996,72.440002,71.449997,72.230003,58.844589,3830448
2015-06-02,71.639999,74.199997,70.550003,73.500000,59.879234,11410655
2015-06-03,73.800003,74.000000,71.150002,71.150002,57.964729,6129210
2015-06-04,71.199997,72.000000,69.900002,70.550003,57.475922,8785300
2015-06-05,70.599998,73.000000,70.190002,72.800003,59.308964,6105130
2015-06-08,72.900002,74.290001,72.199997,72.199997,58.820148,4838770
2015-06-09,72.199997,73.000000,71.379997,72.250000,58.860882,5001015
2015-06-10,72.400002,72.620003,71.000000,71.500000,58.249866,5220520
2015-06-11,72.089996,72.099998,71.050003,71.650002,58.372070,4304390
2015-06-15,70.500000,72.220001,70.400002,71.550003,58.290604,5349510
2015-06-16,71.500000,72.000000,71.000000,71.000000,57.842525,2563170
2015-06-17,70.790001,72.940002,70.699997,72.769997,59.284519,6709710
2015-06-18,72.849998,73.010002,71.300003,71.309998,58.095078,2843100
2015-06-19,71.349998,72.199997,71.099998,71.150002,57.964729,3643603
2015-06-22,71.000000,72.099998,70.309998,70.639999,57.549240,5014870
2015-06-23,70.699997,71.150002,69.209999,69.209999,56.384239,5154160
2015-06-24,69.370003,69.540001,67.550003,67.849998,55.276276,5999650
2015-06-25,67.760002,69.400002,67.760002,68.209999,55.569557,4830370
2015-06-26,68.400002,69.900002,68.000000,69.589996,56.693821,3991070
2015-06-29,69.199997,69.379997,68.010002,69.379997,56.522739,4402840
2015-06-30,68.330002,69.820000,68.330002,69.820000,56.881199,4766350
2015-07-01,69.650002,69.779999,68.470001,68.800003,56.050224,2625510
2015-07-02,68.889999,69.570000,68.720001,69.570000,56.677532,3150894
2015-07-03,69.449997,69.459999,68.110001,68.529999,55.830261,4148160
2015-07-06,67.949997,68.300003,66.660004,66.989998,54.575645,5038990
2015-07-07,67.290001,67.550003,65.269997,66.489998,54.168304,7890400
2015-07-08,66.300003,66.830002,65.489998,66.589996,54.249771,4645240
2015-07-09,67.000000,67.940002,66.699997,67.010002,54.591942,4942560
2015-07-10,67.230003,67.699997,65.879997,66.099998,53.850578,5276300
2015-07-13,66.349998,67.680000,66.110001,67.570000,55.048164,3902350
2015-07-14,67.900002,70.370003,67.169998,70.239998,57.223366,8330160
2015-07-15,69.800003,72.230003,69.660004,72.230003,58.844589,7424660
2015-07-16,72.080002,72.470001,71.400002,71.980003,58.640923,4978010
2015-07-17,71.750000,72.400002,71.599998,71.889999,58.567600,2450504
2015-07-20,71.949997,72.019997,70.199997,70.199997,57.190781,3185434
2015-07-21,70.220001,71.860001,70.220001,70.449997,57.394451,4065130
2015-07-22,70.300003,70.629997,69.150002,70.000000,57.027840,5692455
2015-07-23,70.169998,70.169998,68.779999,68.949997,56.172421,3743630
2015-07-24,68.949997,69.750000,68.019997,68.110001,55.488091,2967910
2015-07-27,68.300003,69.199997,66.809998,67.750000,55.194813,6169900
2015-07-28,67.760002,70.709999,67.730003,69.910004,56.954529,7530898
2015-07-29,70.169998,70.669998,69.699997,69.699997,56.783436,4531199
2015-07-30,69.839996,70.589996,69.839996,70.589996,57.508499,3159060
2015-07-31,70.370003,71.690002,69.839996,70.500000,57.435184,5766960
2015-08-03,70.750000,71.290001,70.059998,70.500000,57.435184,3033360
2015-08-04,70.000000,71.230003,70.000000,70.500000,57.435184,3139747
2015-08-05,71.160004,72.750000,71.160004,72.199997,58.820148,5210040
2015-08-06,71.730003,74.000000,71.599998,73.309998,59.724442,10019160
2015-08-07,73.029999,74.690002,73.029999,74.400002,60.612453,3955059
2015-08-10,74.410004,74.440002,72.260002,73.599998,59.960701,5192940
2015-08-11,73.449997,74.199997,73.250000,73.599998,59.960701,7658680
